school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Alabama,1902,8,4,4,0,0,0,-16.7,,,,Eli,Abbott
Colgate,1928,9,6,3,0,,,7.7,,,,Earl,Abell
Virginia,1929,9,4,3,2,,,-15.1,,,,Earl,Abell
Virginia,1930,10,4,6,0,,,-23.1,,,,Earl,Abell
Mississippi State,1923,9,5,2,2,,,-7.1,,,,Earl,Able
Mississippi State,1924,9,5,4,0,,,-6,,,,Earl,Able
Kansas State,1940,9,2,7,0,,,-8.2,,,,Hobbs,Adams
Kansas State,1941,9,2,5,2,,,-8.6,,,,Hobbs,Adams
Kansas State,1946,9,0,9,0,,,-25.7,,,,Hobbs,Adams
Temple,2011,13,9,4,0,,,5.4,4.6,26.4,22.5,Steve,Addazio
Temple,2012,11,4,7,0,,,-4.9,-11.6,21.6,36,Steve,Addazio
Boston College,2013,13,7,6,0,,,1.5,7.1,32,27,Steve,Addazio
Boston College,2014,13,7,6,0,,,6.2,4.9,28.7,23.7,Steve,Addazio
Boston College,2015,12,3,9,0,,,-0.1,4.7,18,12.5,Steve,Addazio
Boston College,2016,13,7,6,0,,,-2.4,-1.6,20.1,20.8,Steve,Addazio
Boston College,2017,13,7,6,0,,,11.2,4.6,25.2,19.9,Steve,Addazio
Boston College,2018,12,7,5,0,,,5.3,2.4,26.5,22.1,Steve,Addazio
Boston College,2019,12,6,6,0,,,-2.9,-5.7,31.3,35.4,Steve,Addazio
Colorado State,2020,0,0,0,0,,,-11.3,-6.5,24.2,30.5,Steve,Addazio
Northwestern,1964,9,3,6,0,,,3.5,,,,Alex,Agase
Northwestern,1965,10,4,6,0,,,5.1,,,,Alex,Agase
Northwestern,1966,10,3,6,1,,,-1.8,,,,Alex,Agase
Northwestern,1967,10,3,7,0,,,-2.1,,,,Alex,Agase
Northwestern,1968,10,1,9,0,,,-9.2,,,,Alex,Agase
Northwestern,1969,10,3,7,0,,,-3.5,,,,Alex,Agase
Northwestern,1970,10,6,4,0,,,17.7,11.9,29.2,18.1,Alex,Agase
Northwestern,1971,11,7,4,0,20,,10.1,8.1,25.1,17.7,Alex,Agase
Northwestern,1972,11,2,9,0,,,-6,-13,18,29.9,Alex,Agase
Purdue,1973,11,5,6,0,,,8.1,3.1,23.8,21.3,Alex,Agase
Purdue,1974,11,4,6,1,,,5,2.1,27.8,26.4,Alex,Agase
Purdue,1975,11,4,7,0,,,-1.5,-3.9,16.5,20.2,Alex,Agase
Purdue,1976,11,5,6,0,,,4.5,2.5,24,22.1,Alex,Agase
Nevada,1946,9,7,2,0,,,-0.7,,,,Jim,Aiken
Oregon,1947,10,7,3,0,,,6.6,,,,Jim,Aiken
Oregon,1948,11,9,2,0,,9,10.7,,,,Jim,Aiken
Oregon,1949,10,4,6,0,,,10,,,,Jim,Aiken
Oregon,1950,10,1,9,0,,,-10.6,,,,Jim,Aiken
Wyoming,1975,11,2,9,0,,,-0.6,-4.9,20,25,Fred,Akers
Wyoming,1976,12,8,4,0,,,-5.1,-7.6,22.9,29.9,Fred,Akers
Texas,1977,12,11,1,0,,4,26.1,27,42.1,17.1,Fred,Akers
Texas,1978,12,9,3,0,8,9,23.3,26.3,33.5,7.8,Fred,Akers
Texas,1979,12,9,3,0,4,12,21.2,24,27.6,NaN,Fred,Akers
Texas,1980,12,7,5,0,10,,10.9,10.7,29,19.2,Fred,Akers
Texas,1981,12,10,1,1,9,2,17.7,21.9,31.2,10.3,Fred,Akers
Texas,1982,12,9,3,0,17,17,16.9,19.9,35.7,17.4,Fred,Akers
Texas,1983,12,11,1,0,3,5,16.1,21.4,30.1,9.3,Fred,Akers
Texas,1984,12,7,4,1,6,,4.8,9,30.4,22.7,Fred,Akers
Texas,1985,12,8,4,0,,,5.1,8.8,30.4,23.2,Fred,Akers
