,Zip Code,Last Actual Value,Trend,Damping,AIC,RMSE,1-Year Value,3-Year Value,5-Year Value
0,14522,141236.0,mul,True,3380.814876271129,327.5950159131645,143198.0,143321.0,143322.0
1,60514,560337.0,mul,True,4297.49339685837,1582.6044300094222,570679.0,573949.0,574154.0
2,1460,494218.0,mul,True,4072.358576774944,1074.9157383894446,501733.0,504185.0,504347.0
3,46803,45612.0,mul,True,1062.7590444650207,240.5962032933225,47811.0,47953.0,47954.0
4,98841,192542.0,mul,True,1979.8725396859547,230.81969161751715,193015.0,193393.0,193496.0
5,44662,148616.0,mul,True,3547.6413485780977,436.339914986522,153250.0,153542.0,153543.0
6,70512,117320.0,mul,True,2068.979693131397,384.06367595934444,122922.0,123278.0,123280.0
7,75657,133330.0,mul,True,1972.6423933925398,219.61471314100854,132727.0,132640.0,132639.0
8,2916,297414.0,mul,True,3941.9723475021096,859.169506731396,313081.0,318472.0,318850.0
9,23314,337792.0,mul,True,3518.408137982878,414.9643765661067,334553.0,331998.0,331303.0
10,7045,573550.0,mul,True,4225.591789528547,1398.6809064033903,585356.0,589335.0,589612.0
11,24171,106798.0,mul,True,1738.8475832587712,357.964549109095,108452.0,108556.0,108556.0
12,33850,179667.0,mul,True,3631.514376357444,503.97834088347156,198019.0,212984.0,216892.0
13,99320,283348.0,mul,True,2671.1260846164737,618.83630321367,283013.0,282905.0,282898.0
14,2061,653341.0,mul,True,4377.336470046778,1815.3154864785697,657076.0,657614.0,657623.0
15,30025,222947.0,mul,True,1751.3758552061659,696.8190548930336,225714.0,226114.0,226120.0
16,18032,167569.0,mul,True,3438.362141768258,361.6426613573286,174286.0,176636.0,176805.0
17,22942,234115.0,mul,True,2193.8017237376084,332.946996556884,234529.0,234662.0,234671.0
18,19060,458124.0,mul,True,3920.2556652156795,827.7013043238443,469102.0,472810.0,473068.0
19,45154,143133.0,mul,True,2837.013436323449,128.6906423078108,144088.0,144850.0,145058.0
20,96790,927252.0,mul,True,4544.8094696997905,2420.595463743993,933105.0,935334.0,935526.0
21,60422,228385.0,mul,True,4009.374798714288,964.6622158403785,230019.0,230261.0,230265.0
22,29541,131086.0,mul,True,2772.121190642292,503.20300271987134,132892.0,133004.0,133005.0
23,1862,474195.0,mul,True,4034.2699997659133,1006.8211439698617,497779.0,505878.0,506444.0
24,43076,184037.0,mul,True,3486.857549402128,393.0677715311786,183058.0,182918.0,182916.0
25,52353,127903.0,mul,True,1909.5666359950883,184.67354770532637,128868.0,129193.0,129216.0
26,18222,171901.0,mul,True,3701.1130067988493,567.9983810101824,173994.0,174050.0,174050.0
27,8758,302691.0,mul,True,3905.3716008897063,806.8020540864601,315356.0,321489.0,322240.0
28,21029,766669.0,mul,True,4385.75739052917,1841.7721072451038,775152.0,777994.0,778191.0
29,49544,212112.0,mul,True,3627.7008918246256,500.68687905409683,217680.0,218627.0,218647.0
30,4841,176222.0,mul,True,3219.867240350489,248.4485565380219,181981.0,186646.0,187920.0
31,62837,84149.0,mul,True,1983.7102137801273,281.22977487344707,84428.0,84435.0,84435.0
32,23970,110003.0,mul,True,1763.732905223763,266.43668638493347,109665.0,109656.0,109656.0
33,14059,277663.0,mul,True,3785.4493763198225,656.568099684052,273655.0,273395.0,273394.0
34,60442,261679.0,mul,True,3697.450388923002,564.4351014333608,271642.0,276828.0,277544.0
35,15131,125429.0,mul,True,3329.3465667552855,299.8686712823235,126601.0,126632.0,126632.0
36,11716,455832.0,mul,True,4073.323448809909,1076.699271617685,462943.0,465359.0,465530.0
37,36421,142220.0,mul,True,1341.3460078357832,361.73486961072615,140554.0,140352.0,140350.0
38,18518,130475.0,mul,True,2483.8109154456533,894.4274864443572,126267.0,126026.0,126025.0
39,60041,183990.0,mul,True,3536.1845958796744,702.2198002185609,192086.0,199594.0,202077.0
40,36264,115475.0,mul,True,3034.3705133868925,307.34609478011873,117744.0,118075.0,118081.0
41,5819,155630.0,mul,True,2925.485826505612,272.2453039179568,154823.0,154439.0,154392.0
42,12549,293184.0,mul,True,3827.2775262256246,705.4924666253675,300464.0,302924.0,303096.0
43,59725,227811.0,mul,True,2029.3116683179887,354.2815935984369,232775.0,236033.0,236687.0
44,6907,503714.0,mul,True,972.6026389858022,2079.127230701903,505470.0,505516.0,505516.0
45,32409,255857.0,mul,True,4040.8434666982776,1018.2572646250015,278182.0,281547.0,281602.0
46,19807,747334.0,mul,True,4398.0732674737565,1881.1616980346926,704809.0,691212.0,690279.0
